2024-09-05,Cool Christian Engineer 💡,Christ is King.,345,Jess
2024-09-05,Cool Christian Engineer 💡,CHRIST IS KING.,127,Jess
2024-09-05,Cool Christian Engineer 💡,Perfect combination.,100,Jess
2024-09-05,Masculine Based,So that's how Biden thinks.,571,Edrian K
2024-09-05,Masculine Based,You seem to have forgotten about this Curry.,353,Edrian K
2024-09-05,Masculine Based,"He knows that if Kamala wins, America will become one of the weakest countries.",145,Edrian K
2024-09-05,Barefoot Pregnant,That’s an intriguing move by Trump!,77,John
2024-09-05,OneXOneY,JD Vance just served Liz Cheney and Kamala Harris a taste of their own medicine.,356,Liz
2024-09-05,OneXOneY,Is it?????Oh my!!!,219,Liz
2024-09-05,OneXOneY,Step 1: Check your voter registration.  Step 2: Tell everyone you know to do the same.  Step 3: Feel like a superhero for democracy.,109,Liz2024-09-08,Cool Christian Engineer 💡,Clearly Brazilians are looking for real freedom and that includes the freedom of speech.,66,Lynneth
2024-09-08,Barefoot Pregnant,I don't understand what's happening in the UK right now; they need a hard reset.,52,Raine
2024-09-08,Barefoot Pregnant,"Lula cleared the fields, but the only thing missing was the crowd. Seems like Brazilians are waiting for freedom, not just a parade.",51,Raine
2024-09-08,Barefoot Pregnant,"Looks like Stew Peters got a VIP pass to nowhere! Tucker's guest list must have had a ""no drama"" clause.",49,Raine
2024-09-08,OneXOneY,It's crazy how so many people in America are actually thinking about voting for this clown.,59,Sheila
2024-09-09,Cool Christian Engineer 💡,"32 kids found is a huge win, but there’s still a lot of work ahead. Every recovery is a step in the right direction!",85,Jess
2024-09-09,Cool Christian Engineer 💡,"If other kids' parents can’t ace parenting, at least she’s winning ‘Mom of the Year’ for her daughter!",79,Jess
2024-09-09,Cool Christian Engineer 💡,"Great, kids get free dental care! Too bad there’s no plan yet to help parents afford the bills or buy groceries. Guess we’re still flossing over the real issues!",75,Jess
2024-09-09,Masculine Based,The difference now.,330,Edrian K
2024-09-09,Masculine Based,Stop being impressive Dems.,164,Edrian K
2024-09-09,Masculine Based,Your new puppet is ready to implement that.,68,Edrian K
2024-09-09,Barefoot Pregnant,Only trump can save us!,259,John
2024-09-09,Barefoot Pregnant,Save all not one but all.,247,John
2024-09-09,Barefoot Pregnant,Save the pets President trump!,53,John
2024-09-09,OneXOneY,Protect them.,71,Liz
2024-09-09,OneXOneY,Vote for Trump!!,70,Liz
2024-09-10,Masculine Based,How about this one?,530,Edrian K
2024-09-10,Masculine Based,Never give up the meat!,421,Edrian K
2024-09-10,Masculine Based,Only cool guy vote for Trump!,72,Edrian K
2024-09-10,Barefoot Pregnant,If true this could impact everything from local politics to national security.,56,John
2024-09-10,OneXOneY,"K’s “real Election Day” strategy memorize, dodge, and insult. Meanwhile, Trump’s out here winning with genuine, straight-shooting answers.",443,Liz
2024-09-10,OneXOneY,Donald to Donald talk!!,123,Liz
2024-09-10,OneXOneY,Shailene Woodley showing some guts while others lose their minds over a post.,79,Liz
2024-09-11,Masculine Based,2024 is crazy.,1767,Edrian K
2024-09-11,Masculine Based,Biden after this debate.,800,Edrian K
2024-09-11,Masculine Based,He's tired on Kamala sh1t.,689,Edrian K
2024-09-11,Barefoot Pregnant,Trump’s not just playing to win the debate he’s exposing the whole charade.,755,John
2024-09-11,Barefoot Pregnant,Trump stands firm on protecting life and putting America’s core principles first.,382,John
2024-09-11,Barefoot Pregnant,"Fact check Trump like it’s a full time job, while Harris gets a free pass on everything else.",315,John
2024-09-11,OneXOneY,"Trump’s rallies focus on real issues, not just talking about the usual political noise.",548,Liz
2024-09-11,OneXOneY,Drag Biden out of bed and sign that border bill now that’s a wake-up call Kamala can’t ignore!,468,Liz
2024-09-11,OneXOneY,Protection.,87,Liz
2024-09-12,Masculine Based,"Well, This is kamala we're talking about.",216,Edrian K
2024-09-12,Masculine Based,People love Trump because he will risk his life just to fight for our country.,120,Edrian K
2024-09-12,Masculine Based,This is a rally of a paid people.,90,Edrian K
2024-09-12,Barefoot Pregnant,"Imagine getting the questions in advance and still needing the moderators to play lifeline, talk about a prep fail!",62,John
2024-09-12,Barefoot Pregnant,Even in the digital age Trump’s got the culture on lock.,55,John
2024-09-12,Barefoot Pregnant,Trump is prepared to ride that wave all the way to victory Let's make New York great again. 🇺🇸,53,John
2024-09-12,OneXOneY,Bring it on!,149,Liz
2024-09-12,OneXOneY,"Denver’s new motto: Sheltering the world, while our own cities pay the price.",99,Liz
2024-09-12,OneXOneY,"She’s going on and on, especially considering she has a husband.",92,Liz
2024-09-12,Masculine Based,"Well, This is kamala we're talking about.",563,Edrian K
2024-09-12,Masculine Based,This is a rally of a paid people.,370,Edrian K
2024-09-12,Masculine Based,People love Trump because he will risk his life just to fight for our country.,329,Edrian K
2024-09-12,Barefoot Pregnant,"Imagine getting the questions in advance and still needing the moderators to play lifeline, talk about a prep fail!",92,John
2024-09-12,Barefoot Pregnant,They can't compete if they don't cheat.,73,John
2024-09-12,Barefoot Pregnant,Here comes the savior.,58,John
2024-09-12,OneXOneY,Bring it on!,177,Liz
2024-09-12,OneXOneY,"Denver’s new motto: Sheltering the world, while our own cities pay the price.",110,Liz
2024-09-12,OneXOneY,"She’s going on and on, especially considering she has a husband.",93,Liz
2024-09-13,Cool Christian Engineer 💡,"Trudeau can step down now, along with Zelensky. These leaders who are only thinking about wars instead of focusing on how to make peace and fix their countries. 🤦‍♂️",262,Jess
2024-09-13,Cool Christian Engineer 💡,He really hates Kamala.,124,Jess
2024-09-13,Cool Christian Engineer 💡,Who's going to tell him?,81,Jess
2024-09-13,Masculine Based,Leftist hated this.,284,Edrian K
